pointA,pointB,distance
"(42.3522233, -71.11773001441316)","(42.3505035, -71.09985850000001)",1632.329
"(42.3522233, -71.11773001441316)","(42.34972105, -71.10750259091596)",1135.125
"(42.3522233, -71.11773001441316)","(42.34936675, -71.1072935998869)",1117.692
"(42.3522233, -71.11773001441316)","(42.349106, -71.105177)",1261.8990000000003
"(42.3522233, -71.11773001441316)","(42.3507339, -71.115618)",330.78800000000007
"(42.3522233, -71.11773001441316)","(42.3497962, -71.10803121297329)",984.418
"(42.3522233, -71.11773001441316)","(42.348654350000004, -71.10350846676505)",1442.9280000000003
"(42.3522233, -71.11773001441316)","(42.34854035, -71.10284565282228)",1442.9280000000003
"(42.3522233, -71.11773001441316)","(42.3364039, -71.07223994070816)",4630.369999999999
"(42.3522233, -71.11773001441316)","(42.341954799999996, -71.10605008798282)",2119.9540000000006
"(42.3522233, -71.11773001441316)","(42.342699749999994, -71.10489130168085)",1954.2480000000007
"(42.3522233, -71.11773001441316)","(42.342985150000004, -71.10519520944966)",1925.7490000000007
"(42.3522233, -71.11773001441316)","(42.35013155, -71.11140104490026)",745.6540000000002
"(42.3522233, -71.11773001441316)","(42.34945635, -71.105266656638)",1247.4830000000002
"(42.3522233, -71.11773001441316)","(42.342504399999996, -71.10536300402536)",2019.6620000000007
"(42.3522233, -71.11773001441316)","(42.3518204, -71.11646235858747)",337.3299999999999
"(42.3522233, -71.11773001441316)","(42.350170399999996, -71.095114)",2035.5639999999999
"(42.3522233, -71.11773001441316)","(42.336374750000004, -71.07016239901102)",4705.892999999998
"(42.3522233, -71.11773001441316)","(42.35028335, -71.10557727131746)",1118.3999999999996
"(42.3522233, -71.11773001441316)","(42.35097115000001, -71.10897900447887)",939.9669999999999
"(42.3522233, -71.11773001441316)","(42.349639749999994, -71.09973226925189)",1626.5399999999995
"(42.3522233, -71.11773001441316)","(42.3437927, -71.10976791168142)",1740.0890000000002
"(42.3522233, -71.11773001441316)","(42.3504456, -71.10368611901973)",1352.478
"(42.3522233, -71.11773001441316)","(42.3501426, -71.10067825702964)",1609.79
"(42.3522233, -71.11773001441316)","(42.350104849999994, -71.10058154558558)",1609.79
"(42.3522233, -71.11773001441316)","(42.35052185, -71.10009615151182)",1632.329
"(42.3522233, -71.11773001441316)","(42.349457799999996, -71.09810497506007)",1739.8439999999996
"(42.3522233, -71.11773001441316)","(42.3503203, -71.09700303119664)",1858.0469999999998
"(42.3522233, -71.11773001441316)","(42.351064300000004, -71.1075071069339)",994.3179999999999
"(42.3522233, -71.11773001441316)","(42.350860850000004, -71.10386660061369)",1302.323
"(42.3522233, -71.11773001441316)","(42.3495087, -71.10580869890427)",1246.1920000000002
"(42.3522233, -71.11773001441316)","(42.3483358, -71.10173878356534)",1552.1150000000002
"(42.3522233, -71.11773001441316)","(42.35066235, -71.1064382921208)",1148.993
"(42.3522233, -71.11773001441316)","(42.349090849999996, -71.1041455900759)",1304.576
"(42.3522233, -71.11773001441316)","(42.335479649999996, -71.0717193943673)",4780.1990000000005
"(42.3522233, -71.11773001441316)","(42.3514835, -71.1212481)",324.75800000000004
"(42.3522233, -71.11773001441316)","(42.3489751, -71.1009021)",1558.5910000000001
"(42.3522233, -71.11773001441316)","(42.3509964, -71.10799517909709)",994.3179999999999
"(42.3522233, -71.11773001441316)","(42.3496881, -71.1001848)",1585.7059999999997
"(42.3522233, -71.11773001441316)","(42.3491905, -71.1060852)",1122.75
"(42.3522233, -71.11773001441316)","(42.3505083, -71.1039114501441)",1352.478
"(42.3522233, -71.11773001441316)","(42.34877175, -71.10419840251558)",1832.4510000000002
"(42.3522233, -71.11773001441316)","(42.3517837, -71.1187216)",74.45
"(42.3522233, -71.11773001441316)","(42.35051115, -71.09995235)",1632.329
"(42.3522233, -71.11773001441316)","(42.3490585, -71.10153394404658)",1477.1540000000002
"(42.3522233, -71.11773001441316)","(42.3510171, -71.10981338167903)",872.1089999999998
"(42.3522233, -71.11773001441316)","(42.3520335, -71.11030686731542)",802.7039999999998
"(42.3522233, -71.11773001441316)","(42.3498642, -71.1020204)",1394.3609999999996
"(42.3522233, -71.11773001441316)","(42.348448899999994, -71.10015580728992)",1640.5730000000003
"(42.3522233, -71.11773001441316)","(42.3508802, -71.11750772346343)",245.22900000000004
"(42.3522233, -71.11773001441316)","(42.3484364, -71.10230804217932)",1552.1150000000002
"(42.3522233, -71.11773001441316)","(42.34888825, -71.10484432143394)",1832.4510000000002
"(42.3522233, -71.11773001441316)","(42.35078225, -71.10524017370268)",1230.413
"(42.3522233, -71.11773001441316)","(42.3505236, -71.10754495805156)",972.5689999999998
"(42.3522233, -71.11773001441316)","(42.3501003, -71.10383756091035)",1275.0059999999996
"(42.3522233, -71.11773001441316)","(42.351051050235355, -71.1137959187151)",439.001
"(42.3522233, -71.11773001441316)","(42.35455655, -71.12354972039716)",582.4629999999999
"(42.3522233, -71.11773001441316)","(42.3497494, -71.10134870499787)",1516.3939999999998
"(42.3522233, -71.11773001441316)","(42.34972315, -71.10086607545841)",1531.5609999999997
"(42.3522233, -71.11773001441316)","(42.3360176, -71.0694751)",4778.3759999999975
"(42.3522233, -71.11773001441316)","(42.3497874, -71.09794138426676)",1805.0699999999997
"(42.335202, -71.06984300654784)","(42.354296250000004, -71.12122556854106)",5423.417
"(42.335202, -71.06984300654784)","(42.3485174, -71.0993601)",3218.3379999999993
"(42.335202, -71.06984300654784)","(42.34865105, -71.10126530464467)",3388.3689999999992
"(42.335202, -71.06984300654784)","(42.348208549999995, -71.10116164185519)",3385.755999999999
"(42.335202, -71.06984300654784)","(42.3502728, -71.1055321)",3762.643999999999
"(42.335202, -71.06984300654784)","(42.3500229, -71.10311127482268)",3592.731999999999
"(42.335202, -71.06984300654784)","(42.351293600000005, -71.11387671441952)",4447.4890000000005
"(42.335202, -71.06984300654784)","(42.351481699999994, -71.1145903356746)",4513.781000000001
"(42.335202, -71.06984300654784)","(42.3508071, -71.1161896)",4603.980999999998
"(42.335202, -71.06984300654784)","(42.3481453, -71.0986357601812)",3142.5939999999987
"(42.335202, -71.06984300654784)","(42.3489018, -71.1023218)",3510.461999999999
"(42.335202, -71.06984300654784)","(42.3532496, -71.10777000756758)",4691.561
"(42.335202, -71.06984300654784)","(42.3539611, -71.1203527)",5269.885
"(42.335202, -71.06984300654784)","(42.33302405, -71.07351342066596)",365.12600000000003
"(42.335202, -71.06984300654784)","(42.350582900000006, -71.10413120618469)",3743.443999999999
"(42.335202, -71.06984300654784)","(42.3505035, -71.09985850000001)",3393.276999999999
"(42.335202, -71.06984300654784)","(42.34972105, -71.10750259091596)",3916.9510000000005
"(42.335202, -71.06984300654784)","(42.34936675, -71.1072935998869)",3869.020999999998
"(42.335202, -71.06984300654784)","(42.349106, -71.105177)",3753.568999999999
"(42.335202, -71.06984300654784)","(42.3507339, -71.115618)",4579.900999999997
"(42.335202, -71.06984300654784)","(42.3497962, -71.10803121297329)",4106.047999999997
"(42.335202, -71.06984300654784)","(42.348654350000004, -71.10350846676505)",3572.539999999999
"(42.335202, -71.06984300654784)","(42.34854035, -71.10284565282228)",3572.539999999999
"(42.335202, -71.06984300654784)","(42.3364039, -71.07223994070816)",423.926
"(42.335202, -71.06984300654784)","(42.341954799999996, -71.10605008798282)",3700.7429999999977
"(42.335202, -71.06984300654784)","(42.342699749999994, -71.10489130168085)",3536.4539999999984
"(42.335202, -71.06984300654784)","(42.342985150000004, -71.10519520944966)",3632.7489999999984
"(42.335202, -71.06984300654784)","(42.35013155, -71.11140104490026)",4237.914999999997
"(42.335202, -71.06984300654784)","(42.34945635, -71.105266656638)",3728.382999999998
"(42.335202, -71.06984300654784)","(42.342504399999996, -71.10536300402536)",3613.760999999998
"(42.335202, -71.06984300654784)","(42.3518204, -71.11646235858747)",4739.900000000001
"(42.335202, -71.06984300654784)","(42.350170399999996, -71.095114)",2978.7819999999992
"(42.335202, -71.06984300654784)","(42.336374750000004, -71.07016239901102)",194.12100000000004
"(42.335202, -71.06984300654784)","(42.35028335, -71.10557727131746)",3794.197999999999
"(42.335202, -71.06984300654784)","(42.35097115000001, -71.10897900447887)",4153.018
"(42.335202, -71.06984300654784)","(42.349639749999994, -71.09973226925189)",3273.115999999999
"(42.335202, -71.06984300654784)","(42.3437927, -71.10976791168142)",4336.5689999999995
"(42.335202, -71.06984300654784)","(42.3504456, -71.10368611901973)",3667.4869999999987
"(42.335202, -71.06984300654784)","(42.3501426, -71.10067825702964)",3410.9499999999994
"(42.335202, -71.06984300654784)","(42.350104849999994, -71.10058154558558)",3410.9499999999994
"(42.335202, -71.06984300654784)","(42.35052185, -71.10009615151182)",3393.276999999999
"(42.335202, -71.06984300654784)","(42.349457799999996, -71.09810497506007)",3155.191999999999
"(42.335202, -71.06984300654784)","(42.3503203, -71.09700303119664)",3168.4339999999993
"(42.335202, -71.06984300654784)","(42.351064300000004, -71.1075071069339)",4061.2109999999993
"(42.335202, -71.06984300654784)","(42.350860850000004, -71.10386660061369)",3712.0229999999992
"(42.335202, -71.06984300654784)","(42.3495087, -71.10580869890427)",3739.571999999998
"(42.335202, -71.06984300654784)","(42.3483358, -71.10173878356534)",3463.3889999999988
"(42.335202, -71.06984300654784)","(42.35066235, -71.1064382921208)",3907.573999999999
"(42.335202, -71.06984300654784)","(42.349090849999996, -71.1041455900759)",3589.656999999998
"(42.335202, -71.06984300654784)","(42.335479649999996, -71.0717193943673)",195.868
"(42.335202, -71.06984300654784)","(42.3514835, -71.1212481)",5045.364999999997
"(42.335202, -71.06984300654784)","(42.3489751, -71.1009021)",3354.785999999999
"(42.335202, -71.06984300654784)","(42.3509964, -71.10799517909709)",4061.2109999999993
"(42.335202, -71.06984300654784)","(42.3496881, -71.1001848)",3378.191999999999
"(42.335202, -71.06984300654784)","(42.3491905, -71.1060852)",3863.815999999998
"(42.335202, -71.06984300654784)","(42.3505083, -71.1039114501441)",3667.4869999999987
"(42.335202, -71.06984300654784)","(42.34877175, -71.10419840251558)",3743.7249999999985
"(42.335202, -71.06984300654784)","(42.3517837, -71.1187216)",4853.246000000002
"(42.335202, -71.06984300654784)","(42.35051115, -71.09995235)",3393.276999999999
"(42.335202, -71.06984300654784)","(42.3490585, -71.10153394404658)",3461.425999999999
"(42.335202, -71.06984300654784)","(42.3510171, -71.10981338167903)",4195.97
"(42.335202, -71.06984300654784)","(42.3520335, -71.11030686731542)",4308.165000000001
"(42.335202, -71.06984300654784)","(42.3498642, -71.1020204)",3500.674999999999
"(42.335202, -71.06984300654784)","(42.348448899999994, -71.10015580728992)",3330.8489999999993
"(42.335202, -71.06984300654784)","(42.3508802, -71.11750772346343)",4760.679999999998
"(42.335202, -71.06984300654784)","(42.3484364, -71.10230804217932)",3463.3889999999988
"(42.335202, -71.06984300654784)","(42.34888825, -71.10484432143394)",3743.7249999999985
"(42.335202, -71.06984300654784)","(42.35078225, -71.10524017370268)",3810.718999999999
"(42.335202, -71.06984300654784)","(42.3505236, -71.10754495805156)",4039.4619999999995
"(42.335202, -71.06984300654784)","(42.3501003, -71.10383756091035)",3640.6279999999992
"(42.335202, -71.06984300654784)","(42.351051050235355, -71.1137959187151)",4447.4890000000005
"(42.335202, -71.06984300654784)","(42.35455655, -71.12354972039716)",5468.9529999999995
"(42.335202, -71.06984300654784)","(42.3497494, -71.10134870499787)",3456.5609999999997
"(42.335202, -71.06984300654784)","(42.34972315, -71.10086607545841)",3363.474999999999
"(42.335202, -71.06984300654784)","(42.3360176, -71.0694751)",123.76599999999999
"(42.335202, -71.06984300654784)","(42.3497874, -71.09794138426676)",3160.5499999999993
"(42.354296250000004, -71.12122556854106)","(42.354296250000004, -71.12122556854106)",0.0
"(42.354296250000004, -71.12122556854106)","(42.3485174, -71.0993601)",2541.922
"(42.354296250000004, -71.12122556854106)","(42.34865105, -71.10126530464467)",2160.848
"(42.354296250000004, -71.12122556854106)","(42.348208549999995, -71.10116164185519)",2166.639
"(42.354296250000004, -71.12122556854106)","(42.3502728, -71.1055321)",1685.447
"(42.354296250000004, -71.12122556854106)","(42.3500229, -71.10311127482268)",1839.2309999999998
"(42.354296250000004, -71.12122556854106)","(42.351293600000005, -71.11387671441952)",975.9279999999998
"(42.354296250000004, -71.12122556854106)","(42.351481699999994, -71.1145903356746)",918.569
"(42.354296250000004, -71.12122556854106)","(42.3508071, -71.1161896)",843.635
"(42.354296250000004, -71.12122556854106)","(42.3481453, -71.0986357601812)",2324.138
"(42.354296250000004, -71.12122556854106)","(42.3489018, -71.1023218)",1981.519
"(42.354296250000004, -71.12122556854106)","(42.3532496, -71.10777000756758)",1747.9189999999999
"(42.354296250000004, -71.12122556854106)","(42.3539611, -71.1203527)",153.53199999999998
"(42.354296250000004, -71.12122556854106)","(42.33302405, -71.07351342066596)",5275.008000000002
"(42.354296250000004, -71.12122556854106)","(42.350582900000006, -71.10413120618469)",1847.7809999999997
"(42.354296250000004, -71.12122556854106)","(42.3505035, -71.09985850000001)",2169.256
"(42.354296250000004, -71.12122556854106)","(42.34972105, -71.10750259091596)",1672.0519999999997
"(42.354296250000004, -71.12122556854106)","(42.34936675, -71.1072935998869)",1654.6189999999997
"(42.354296250000004, -71.12122556854106)","(42.349106, -71.105177)",1798.826
"(42.354296250000004, -71.12122556854106)","(42.3507339, -71.115618)",867.715
"(42.354296250000004, -71.12122556854106)","(42.3497962, -71.10803121297329)",1521.3449999999998
